Complexity metrics,joi, 12 ian. 2023 10:26:12 EET
Method,CogC,ev(G),iv(G),v(G)
"sn.socialnetwork.domain.validators.ValidationException.ValidationException(String, Throwable, boolean, boolean)",0,1,1,1
sn.socialnetwork.domain.validators.ValidationException.ValidationException(Throwable),0,1,1,1
sn.socialnetwork.factory.ReportFactory.ReportFactory(),0,1,1,1
"sn.socialnetwork.factory.ReportFactory.createReport(ReportType, E)",1,4,1,4
sn.socialnetwork.factory.ReportFactory.getInstance(),0,1,1,1
sn.socialnetwork.repo.AbstractDatabaseRepo.AbstractDatabaseRepo(IValidator<E>),0,1,1,1
"sn.socialnetwork.repo.AbstractDatabaseRepo.AbstractDatabaseRepo(String, String, String, IValidator<E>)",0,1,1,1
sn.socialnetwork.repo.AbstractDatabaseRepo.add(E),3,2,3,3
sn.socialnetwork.repo.AbstractDatabaseRepo.getAll(),2,1,3,3
sn.socialnetwork.repo.AbstractDatabaseRepo.getById(ID),2,2,3,3
sn.socialnetwork.repo.AbstractDatabaseRepo.remove(ID),2,2,2,3
sn.socialnetwork.repo.AbstractDatabaseRepo.update(E),3,2,2,3
"sn.socialnetwork.repo.DatabaseRepo.DatabaseRepo(Class<E>, IValidator<E>)",0,1,1,1
"sn.socialnetwork.repo.DatabaseRepo.DatabaseRepo(Class<E>, String, String, String, IValidator<E>)",0,1,1,1
sn.socialnetwork.repo.DatabaseRepo.add(E),6,3,4,8
sn.socialnetwork.repo.DatabaseRepo.buildEntity(ResultSet),7,2,2,10
sn.socialnetwork.repo.DatabaseRepo.getAll(),2,1,3,3
sn.socialnetwork.repo.DatabaseRepo.getById(ID),2,2,3,3
sn.socialnetwork.repo.DatabaseRepo.getEntityFieldNames(),0,1,1,1
sn.socialnetwork.repo.DatabaseRepo.getEntityFieldType(String),1,1,1,2
"sn.socialnetwork.repo.DatabaseRepo.getEntityFieldValue(E, String)",2,1,1,3
sn.socialnetwork.repo.DatabaseRepo.getEntityTypeName(),0,1,1,1
"sn.socialnetwork.repo.DatabaseRepo.loadFromRepo(IRepo<ID, E>)",1,1,2,2
sn.socialnetwork.repo.DatabaseRepo.remove(ID),2,2,2,3
"sn.socialnetwork.repo.DatabaseRepo.setEntityFieldValue(E, String, Object)",2,1,1,3
sn.socialnetwork.repo.DatabaseRepo.update(E),6,3,3,6
"sn.socialnetwork.repo.FileRepo.FileRepo(String, IValidator<E>)",0,1,1,1
sn.socialnetwork.repo.FileRepo.add(E),1,1,2,2
sn.socialnetwork.repo.FileRepo.load(),9,1,8,9
sn.socialnetwork.repo.FileRepo.newLineExists(File),3,3,2,4
sn.socialnetwork.repo.FileRepo.remove(ID),1,1,2,2
sn.socialnetwork.repo.FileRepo.saveAll(),2,1,3,3
sn.socialnetwork.repo.FileRepo.saveAppend(E),2,1,3,3
sn.socialnetwork.repo.FileRepo.update(E),0,1,1,1
sn.socialnetwork.repo.FriendshipDatabaseRepo.FriendshipDatabaseRepo(IValidator<Friendship>),0,1,1,1
"sn.socialnetwork.repo.FriendshipDatabaseRepo.FriendshipDatabaseRepo(String, String, String, IValidator<Friendship>)",0,1,1,1
sn.socialnetwork.repo.FriendshipDatabaseRepo.buildEntity(ResultSet),0,1,1,1
"sn.socialnetwork.repo.FriendshipDatabaseRepo.getByIdQuery(Connection, Long)",0,1,1,1
"sn.socialnetwork.repo.FriendshipDatabaseRepo.getInsertQuery(Connection, Friendship)",0,1,1,1
